通信总量,等效通信总量,延时
22837608.0,156941209.63933587,2531975.5823860695
23032134.0,130133644.64389665,2575707.6904281205
23064210.0,164471558.014255,2572852.3552881405
23183208.0,100602361.94717315,2530116.6563371066
23193594.0,95509010.94011894,2567053.9841343355
23340870.0,107645216.91949667,2566969.0215467834
23386860.0,148833692.50771087,2554269.7584350337
23454900.0,105183422.36845239,2545202.929588835
23460138.0,240924480.54510692,2573421.9073860683
23565672.0,234301250.0424902,2573136.8288895227
23570280.0,184334813.7358326,2583461.9711971236
23639490.0,207770911.09934375,2551239.4073860664
23659182.0,68226831.23080619,2536983.0559874545
23659182.0,68226831.23080619,2536983.0559874545
23695596.0,138796669.13670897,2598701.272067472
23699124.0,92201218.3537119,2601807.1486447076
23699304.0,118262402.86247961,2542006.0372812287
23699394.0,172113095.69422925,2618607.272945398
23700024.0,178558234.339041,2556148.869798506
23708970.0,119558928.18477665,2581187.490602655
23709060.0,137452022.83171028,2578301.5211971253
23722794.0,286983478.4278203,2609195.1017915974
23723244.0,113010418.81007706,2578977.8323860676
23741946.0,274632803.2126062,2632463.44969367
23750532.0,114141205.4549056,2554714.851054366
23777460.0,228954997.75552818,2587621.7542391773
23778450.0,129352990.28082934,2528800.708784687
23782158.0,142047093.69644046,2561116.151791595
23787396.0,177141339.440497,2562060.9638538086
23792274.0,238582149.82398477,2589005.4315116387
23802030.0,169746696.93491608,2567503.9461971284
23819292.0,99821039.08289646,2559709.2816867605
23847210.0,177426453.44520053,2593266.0087846834
23856606.0,381739877.13530034,2623981.6094839964
23861664.0,1079683192.3321807,2649091.6168267354
23865192.0,152248757.58646742,2570029.061931578
23865372.0,211021052.7779441,2558645.472592263
23865372.0,211021052.7779441,2558645.472592263
23879646.0,264771756.75501335,2645110.6778405607
23898258.0,132003131.3801933,2552464.429937342
23902326.0,443508881.112723,2637144.654588835
23911182.0,229420388.67524552,2584588.737805418
23921388.0,121033740.87106813,2566380.2255640216
23921388.0,121033740.87106813,2566380.2255640216
23949036.0,105907971.69893764,2598167.714728816
23952834.0,189523015.07447624,2604973.0760797197
23957532.0,140416196.1349216,2563743.2295888313
23975874.0,97950070.84864818,2610282.7418267354
23976234.0,121500869.44463465,2574653.0059874495
23989428.0,78208354.80063963,2576628.384483993
23990508.0,150259579.3205481,2596626.35895513
23995116.0,87463759.55288306,2553511.090078471
23998644.0,174463683.04301456,2599699.077490907
23999724.0,189471546.99653304,2571704.5930467355
24017526.0,275820783.41791725,2585970.269258732
24018156.0,93921853.75925761,2572191.281686758
24026472.0,111811507.31780785,2601737.651787504
24031080.0,189278936.98670095,2560377.2098336513
24031530.0,323569233.6427627,2571448.044099198
24036228.0,185857972.23680392,2565902.35983365
24040296.0,164148794.53258428,2626897.2288895217
24045264.0,110416512.82892384,2573998.454938486
24045354.0,189245950.29320148,2600912.6827357244
24045354.0,220268674.93268308,2595450.7454978195
24050502.0,262878813.07401568,2603523.9996936684
24054390.0,119707661.20554242,2640371.706686757
24058728.0,213710717.6394309,2619135.914029504
24059718.0,276299515.1163967,2570920.1822074587
24063966.0,115865768.33913478,2577334.151791596
24067944.0,409259895.41906077,2572342.8591343425
24072462.0,119595958.41351978,2598646.628361867
24072462.0,103038855.74728163,2593137.105808237
24077610.0,102251663.05621491,2562874.5785398707
24077790.0,402308909.10691565,2613510.0531902155
24077790.0,402308909.10691565,2613510.0531902155
24082038.0,144035716.73905998,2613771.446721897
24086826.0,203730710.87739468,2622480.6362322713
24086826.0,119238116.37568614,2590142.3841343406
24087366.0,144490578.95553684,2577168.0108826146
24087906.0,119456284.635872,2624478.4447950246
24091794.0,135546934.411781,2593290.514379158
24101370.0,121768910.6683324,2593311.71298054
24109596.0,238808096.87031153,2589630.451441942
24114204.0,308130233.44694144,2587794.4788895235
24118902.0,221313741.51976383,2607054.020319195
24123780.0,113522046.7401946,2564382.822595744
24123780.0,113522046.7401946,2564382.822595744
24124500.0,130649657.56408174,2585597.1542391772
24132546.0,200863341.9606897,2611689.886406801
24132546.0,126236526.19836032,2574527.5603578403
24142122.0,286837860.29421276,2631001.6989943646
24142122.0,111359534.61571473,2612581.76507847
24150888.0,270592415.2123634,2624772.028889522
24155856.0,228541768.31134617,2621774.479588833
24166242.0,247110428.4576119,2599204.774344019
24170670.0,70553928.40305659,2541047.754588832
24174378.0,169208889.28590897,2577904.7780150943
24178716.0,107325154.42111446,2591427.862265039
24183324.0,137540948.02711326,2576650.5678716167
24188022.0,97609428.35354103,2573256.431161411
24188202.0,183016119.17416358,2580289.7346508023
24188562.0,298673072.7364324,2613985.3636798495
24188742.0,123211521.68024324,2614955.1587846875
24193350.0,205910604.3215387,2639315.5150784655
24206184.0,148137439.49837357,2600055.1493440173
24206364.0,196507664.89510065,2593782.8105329555
24207084.0,155333718.64962316,2588457.8687260747
24212052.0,265044934.74241504,2580609.0197985084
24215580.0,231353087.4738044,2634781.8715426866
24215850.0,171473911.23197615,2575416.7834266997
24220908.0,237996354.24521112,2587532.5858826134
24224706.0,117751623.23907052,2567001.6937489724
24225516.0,230946756.34729332,2637171.826791597
24233832.0,165758744.98852786,2611524.489201158
24234102.0,214862511.0886278,2583435.8517915998
24238530.0,152881161.9635705,2565544.1306377957
24243138.0,121816453.19035475,2573606.001608741
24243498.0,91468772.62095405,2558658.836232269
24244218.0,194625802.86118034,2548087.874344018
24256872.0,135906253.85358474,2643971.385183303
24257142.0,179693232.74763256,2565006.0619309964
24258132.0,96933130.80201605,2579600.3542391798
24261930.0,111401460.87389235,2554406.1292391773
24262110.0,151692298.8784811,2609565.853190216
24265998.0,89898645.86655642,2582063.1815116405
24266628.0,84781387.48544902,2620052.6437460613
24271956.0,131841147.80284806,2604446.132386067
24280362.0,243633556.36628926,2604884.2552881427
24280812.0,96870194.62289332,2554477.7309874515
24280812.0,96870194.62289332,2554477.7309874515
24280812.0,96870194.62289332,2554477.7309874515
24280812.0,96870194.62289332,2554477.7309874515
24284340.0,138748420.39175138,2546522.9598336457
24284610.0,105332782.69369055,2591978.1926971027
24284700.0,145903752.6548653,2575113.218399892
24285690.0,126549100.11629233,2596970.5320364167
24289218.0,143384494.27915537,2607250.5911274254
24290208.0,189150086.3218664,2604719.258780595
24295086.0,200736084.2374754,2613302.4517893028
24295176.0,208021283.21788076,2605422.195847473
24299874.0,164416575.84381065,2604013.823644708
24307560.0,220513440.19779947,2606550.163330188
24307740.0,384416078.3312397,2624202.4872812307
24312618.0,111832483.23287022,2600551.352657101
24312978.0,452941076.9743948,2637938.93623227
24317766.0,79070979.05878282,2598705.2830812875
24321384.0,124010181.77980527,2566445.809833649
24335658.0,414276365.9136485,2613247.9757426335
24336018.0,160859507.73881865,2554810.729930157
24344244.0,128846482.35719964,2614891.377488615
24344694.0,117768271.44690226,2587764.7285398706
24349032.0,195756473.22396702,2594789.2442720197
24349392.0,104361986.61027086,2609449.0061240573
24349572.0,253015341.61033136,2609818.7239943612
24349932.0,111888530.70529026,2609041.351088193
24353820.0,113870527.55311488,2550958.1309874537
24353910.0,273544254.78742915,2572716.736931582
24354090.0,169110296.79767284,2663618.5487909284
24354090.0,127632945.7852952,2608496.0413019634
24354180.0,106984043.52449068,2575984.130450711
24367644.0,174135879.1376296,2580040.508609564
24368724.0,154513303.04149586,2560265.3844839963
24373062.0,111209239.51180856,2648679.4180418993
24376500.0,186804508.4373005,2619910.9021412535
24381378.0,171764229.97334376,2571396.8538895235
24381378.0,163296839.6452977,2568708.43203641
24381558.0,228414917.86914933,2578331.766651619
24381738.0,164226833.09631857,2559790.6003929796
24390954.0,110141461.84923528,2654029.3785013505
24390954.0,184572089.70450047,2616604.315041143
24391584.0,219070280.23967442,2612325.3837846876
24394932.0,141424425.66029006,2614955.921197126
24399720.0,89733857.87999536,2538058.143749546
24399810.0,129860128.23830764,2623615.6594839967
24399990.0,110379723.90302207,2645609.301092291
24400170.0,78140746.994006,2590205.1645536944
24404328.0,317080278.1187315,2612474.462976456
24413994.0,137283848.833037,2618986.2087846855
24414174.0,163502224.35155514,2597770.7383301896
24418782.0,190580821.79672894,2608928.939553121
24419412.0,186728001.18814176,2629158.038854384
24419412.0,186728001.18814176,2629158.038854384
24423210.0,138160343.27733698,2579787.6014378495
24427458.0,220654240.04448375,2597062.716651619
24427818.0,153975097.0728853,2585022.2524909046
24428268.0,172924525.71723872,2567686.4649033453
24428808.0,172620718.64550346,2604864.321896439
24436584.0,92591407.63400584,2574060.4479453983
24450408.0,112350745.73287567,2600242.893741211
24451038.0,143403292.76579064,2605985.6173509313
24455286.0,253084218.6445419,2617028.70668676
24455916.0,98662054.89655374,2628025.426791597
24456546.0,356485260.4970521,2658349.720320412
24459714.0,164389825.32329306,2563330.469098628
24464232.0,161179393.3996682,2592546.7295805006
24464682.0,143631028.0615585,2616018.8961971253
24468930.0,149715831.4848442,2580182.2538895234
24469650.0,185036324.53631625,2622950.451092288
24478056.0,138236932.81547624,2625544.21263089
24478956.0,132800297.78869587,2600733.4486447056
